sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
2,all_gene,0,7.659908772,7.691008091,2.393144846,2.388720274,0.120289266,0.124979556,2.767653942,2.773266792
2,all_gene,1,8.036673546,8.022805214,2.461575031,2.454885006,0.125309765,0.129618824,2.834902763,2.832455635
2,all_gene,2,7.427091599,7.360054493,2.336590767,2.318383694,0.119713008,0.121802032,2.725269079,2.712942123
2,all_gene,3,7.99926424,8.116417885,2.454681873,2.479255676,0.124615133,0.12666595,2.828297138,2.848932743
2,all_gene,4,8.007295609,8.018939972,2.435340643,2.455294847,0.128328979,0.127164543,2.829716444,2.831773281
2,all_gene,5,8.461052895,8.117239952,2.544111729,2.477968216,0.124984562,0.125047863,2.908788919,2.849076986
2,all_gene,6,7.806697369,7.550363064,2.414985895,2.364010096,0.122504294,0.121443331,2.794046879,2.747792482
2,all_gene,7,8.051373482,7.820338726,2.448719025,2.4129107,0.128548265,0.124847174,2.837494135,2.796486855
2,all_gene,8,7.827890396,7.859961033,2.409977198,2.398860931,0.122424304,0.125278711,2.797836781,2.803562164
2,all_gene,9,8.202218056,8.121079445,2.492518425,2.47766757,0.128607392,0.128209293,2.863951445,2.849750757
