sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
2,all_gene,0,3.879127026,3.852772474,1.595056057,1.587764263,0.081987619,0.082475901,1.969550014,1.962848067
2,all_gene,1,4.043905735,4.044594765,1.638633251,1.641038537,0.085427046,0.08574754,2.010946512,2.011117697
2,all_gene,2,3.761509895,3.791668415,1.556990743,1.56660223,0.082318544,0.082220852,1.939461231,1.947220683
2,all_gene,3,3.80211544,3.806312561,1.574016094,1.574861288,0.083681464,0.083306313,1.949901342,1.950977325
2,all_gene,4,3.717698812,3.768571854,1.560970545,1.569991589,0.081313729,0.082325697,1.928133488,1.941280961
2,all_gene,5,3.862034798,3.823428631,1.588186026,1.575300455,0.083779871,0.082710505,1.965206027,1.955358982
2,all_gene,6,3.739048481,3.7530756,1.563364387,1.561924577,0.080415964,0.081342697,1.933661938,1.937285662
2,all_gene,7,3.832648516,3.843232155,1.578134894,1.585340023,0.082994461,0.082554698,1.957715154,1.960416317
2,all_gene,8,3.798242569,3.795889378,1.572782636,1.575713515,0.083219409,0.083266914,1.948908091,1.948304176
2,all_gene,9,3.723813534,3.757411242,1.548420787,1.561869979,0.082364142,0.081614137,1.929718494,1.938404322
