sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
4,all_gene,0,0.637812078,0.632754028,0.62457335,0.622581601,0.016907454,0.016701102,0.79863137,0.795458376
4,all_gene,1,0.630315065,0.614413738,0.61932689,0.613155901,0.016619802,0.016270757,0.793923855,0.783845484
4,all_gene,2,0.605662525,0.614706516,0.612161994,0.611921012,0.016034961,0.016279221,0.778243244,0.784032226
4,all_gene,3,0.631204188,0.628083348,0.624616385,0.625454068,0.016735792,0.016689241,0.794483602,0.792517126
4,all_gene,4,0.604993522,0.597794771,0.609603107,0.607389152,0.015831232,0.015830576,0.777813315,0.773171902
4,all_gene,5,0.640260339,0.632093966,0.626670361,0.622987866,0.016808987,0.016771436,0.800162673,0.795043349
4,all_gene,6,0.597761393,0.588416874,0.607894897,0.602243423,0.015694678,0.01545316,0.773150325,0.767083347
4,all_gene,7,0.611516774,0.613928914,0.610479951,0.610176325,0.016114414,0.016095102,0.781995356,0.783536136
4,all_gene,8,0.594749033,0.607455254,0.6033746,0.60822624,0.015763044,0.016083121,0.771199763,0.77939415
4,all_gene,9,0.625017762,0.624073327,0.619908929,0.620105147,0.016499937,0.01648742,0.79058063,0.789983094
