sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
922,all_gene,0,0.449618459,0.449469388,0.534861922,0.534402013,0.105064332,0.105169535,0.670535922,0.670424759
922,all_gene,1,0.445318103,0.446808994,0.531983316,0.532684147,0.105374575,0.105602622,0.667321563,0.668437719
922,all_gene,2,0.436895251,0.43735674,0.52485621,0.525361478,0.103481054,0.103559017,0.660980523,0.661329508
922,all_gene,3,0.44519949,0.445326924,0.531600893,0.531737983,0.104439616,0.104274809,0.667232692,0.667328179
922,all_gene,4,0.441725135,0.44108355,0.528100193,0.528069317,0.104986846,0.105057001,0.664624035,0.664141238
922,all_gene,5,0.438497752,0.43830958,0.526503146,0.526153505,0.102998853,0.103078544,0.662191629,0.662049532
922,all_gene,6,0.446504295,0.447176427,0.532002151,0.532560945,0.105702341,0.105751872,0.668209791,0.668712497
922,all_gene,7,0.45729965,0.460214317,0.541202486,0.542424977,0.108315408,0.108911455,0.676239371,0.67839098
922,all_gene,8,0.440651238,0.441149741,0.528329372,0.528286457,0.104150295,0.10426265,0.663815677,0.664191067
922,all_gene,9,0.443629116,0.444301695,0.530439377,0.530577481,0.104148746,0.104142547,0.666054904,0.666559577
